City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Zonguldak,TR,41.25,31.83,58.01,84,100,1.27,overcast clouds
204,Pushkino,RU,56.02,37.87,66.49,97,100,3.71,overcast clouds
205,Ovalle,CL,-30.60,-71.20,57.27,63,100,2.96,overcast clouds
206,Maues,BR,-3.38,-57.72,82.62,86,95,1.11,overcast clouds
207,Katherine,AU,-14.47,132.27,77.32,61,12,2.57,few clouds
208,Guangyuan,CN,32.44,105.82,71.91,85,14,0.23,few clouds
209,Caravelas,BR,-17.71,-39.25,78.04,71,0,2.92,clear sky
210,Haines Junction,CA,60.75,-137.51,64.35,29,8,1.03,clear sky
211,Miharu,JP,37.43,140.48,52.77,96,4,1.24,clear sky
212,Tura,IN,25.52,90.22,73.96,94,6,2.58,clear sky
213,Sechura,PE,-5.56,-80.82,75.65,56,97,7.55,overcast clouds
214,Ridgecrest,US,35.62,-117.67,85.68,9,0,2.57,clear sky
215,Pacific Grove,US,36.62,-121.92,77.23,82,17,4.92,few clouds
216,Kalmunai,LK,7.42,81.82,80.64,75,58,1.84,broken clouds
217,Tagusao,PH,9.19,117.81,79.74,81,100,2.45,overcast clouds
218,Arman,RU,59.70,150.17,41.02,83,100,1.12,overcast clouds
219,Santa Rosa,PH,14.31,121.11,79.11,94,99,2.07,overcast clouds
220,Aberdeen,GB,57.14,-2.10,59.49,70,22,3.09,few clouds
221,Felanitx,ES,39.47,3.15,79.14,59,0,1.86,clear sky
222,Te Anau,NZ,-45.42,167.72,50.23,91,100,1.53,moderate rain
223,Grand Gaube,MU,-20.01,57.66,73.80,71,96,1.34,overcast clouds
224,Talnakh,RU,69.49,88.40,31.21,92,99,4.38,overcast clouds
225,Brae,GB,60.40,-1.35,51.58,84,75,6.72,broken clouds
226,Acajutla,SV,13.59,-89.83,84.85,60,99,5.26,overcast clouds
227,Salay,PH,8.86,124.79,74.93,81,54,1.7,broken clouds
228,Kurumkan,RU,54.30,110.30,46.24,53,12,1.39,few clouds
229,Muli,MV,2.92,73.57,83.52,74,100,6.8,overcast clouds
230,Quatre Cocos,MU,-20.21,57.76,73.51,67,63,4.53,broken clouds
231,San Patricio,US,28.02,-97.52,93.18,48,16,6.99,few clouds
232,Aquiraz,BR,-3.90,-38.39,82.49,85,100,3.15,overcast clouds
233,La Virginia,CO,4.90,-75.88,78.35,73,75,3.09,broken clouds
234,Morant Bay,JM,17.88,-76.41,88.72,70,38,5.11,scattered clouds
235,Andra,RU,62.51,65.89,42.75,54,9,1.49,clear sky
236,Bairnsdale,AU,-37.83,147.62,48.13,88,91,2.59,overcast clouds
237,Kerrville,US,30.05,-99.14,91.92,48,40,6.17,scattered clouds
238,Tenkasi,IN,8.96,77.31,78.12,84,89,4.48,overcast clouds
239,Flin Flon,CA,54.77,-101.86,40.84,87,100,6.17,overcast clouds
240,Terney,RU,45.05,136.61,46.74,99,100,2.84,overcast clouds
241,Beitbridge,ZW,-22.22,30.00,61.16,51,0,3.31,clear sky
242,Ozernovskiy,RU,51.50,156.52,40.80,88,8,2.95,clear sky
243,Lichinga,MZ,-13.31,35.24,57.29,82,0,4.12,clear sky
244,Iracoubo,GF,5.48,-53.20,80.56,82,100,1.47,overcast clouds
245,Buta,CD,2.79,24.73,72.19,85,100,0.5,overcast clouds
246,Acapulco,MX,16.86,-99.89,85.05,60,49,4.05,scattered clouds
247,Talcahuano,CL,-36.72,-73.12,49.68,57,52,2.06,broken clouds
248,Mizdah,LY,31.45,12.98,89.38,17,0,10.22,clear sky
249,Kavieng,PG,-2.57,150.80,80.02,67,9,1.56,clear sky
250,Baiyin,CN,36.56,104.21,67.82,38,14,2.88,few clouds
251,Gimli,CA,50.63,-96.99,55.42,47,96,7.72,overcast clouds
252,Nelson Bay,AU,-32.72,152.15,47.08,80,69,0.89,broken clouds
253,Waddan,LY,29.16,16.14,89.98,14,0,5.07,clear sky
254,Auki,SB,-8.77,160.70,75.45,85,100,1.49,overcast clouds
255,Saint-Francois,FR,46.42,3.91,71.04,53,0,3.09,clear sky
256,Coos Bay,US,43.37,-124.22,63.99,89,100,3.6,overcast clouds
257,Naze,JP,28.37,129.48,68.92,90,98,3.02,overcast clouds
258,Coquimbo,CL,-29.95,-71.34,55.13,71,75,3.09,light rain
259,Tasiilaq,GL,65.61,-37.64,34.97,100,100,0.8,light snow
260,Kijang,KR,35.24,129.21,65.93,76,0,3.12,clear sky
261,Dole,FR,47.08,5.50,69.71,56,0,1.54,clear sky
262,Banjar,ID,-8.19,114.97,77.47,86,82,1.13,broken clouds
263,Baker City,US,44.77,-117.83,65.59,57,40,3.09,scattered clouds
264,Ricse,HU,48.33,21.97,70.05,70,48,1.22,scattered clouds
265,Galich,RU,58.38,42.35,60.62,78,100,1.92,overcast clouds
266,Port Hardy,CA,50.70,-127.42,51.98,93,100,1.54,mist
267,Tautira,PF,-17.73,-149.15,78.80,73,100,5.28,light rain
268,Balkanabat,TM,39.51,54.37,88.05,16,0,2.74,clear sky
269,Tortoli,IT,39.93,9.66,75.02,83,0,2.57,clear sky
270,Cataguases,BR,-21.39,-42.70,86.65,60,35,1.98,scattered clouds
271,Mana,GF,5.66,-53.78,80.55,85,100,1.84,overcast clouds
272,Alice Springs,AU,-23.70,133.88,53.15,100,100,2.57,overcast clouds
273,Mundo Nuevo,MX,18.70,-95.50,84.63,66,32,4.69,scattered clouds
274,Castro,BR,-24.79,-50.01,59.85,98,100,1.09,overcast clouds
275,Dancheng,CN,33.63,115.18,73.31,60,0,2.88,clear sky
276,Sinnamary,GF,5.38,-52.95,80.78,81,100,1.5,light rain
277,Sao Miguel Do Araguaia,BR,-13.28,-50.16,94.32,20,4,2.88,clear sky
278,Lavrentiya,RU,65.58,-171.00,41.83,76,35,1.39,scattered clouds
279,Cooma,AU,-36.23,149.13,31.46,93,9,0.55,clear sky
280,Havelock,US,34.88,-76.90,94.98,58,0,1.34,clear sky
281,Faanui,PF,-16.48,-151.75,78.62,74,100,2.25,light rain
282,San Vicente,AR,-26.62,-54.13,52.27,99,100,0.39,overcast clouds
283,Bandarbeyla,SO,9.49,50.81,79.02,82,100,12.19,overcast clouds
284,Melbu,NO,68.50,14.83,58.82,55,0,2.06,clear sky
285,Adrar,MR,20.50,-10.07,99.95,11,5,4.25,clear sky
286,Lagoa,PT,39.05,-27.98,61.34,81,100,5.33,overcast clouds
287,Uyuni,BO,-20.46,-66.83,50.16,26,88,15.03,overcast clouds
288,Taoudenni,ML,22.68,-3.98,102.52,8,0,4.97,clear sky
289,Vila Velha,BR,-20.33,-40.29,80.55,87,20,4.12,few clouds
290,Asau,RO,46.43,26.40,69.28,84,51,2.09,broken clouds
291,Lodwar,KE,3.12,35.60,86.85,38,51,9.15,broken clouds
292,Shenjiamen,CN,29.96,122.30,68.22,97,100,3.11,overcast clouds
293,Grindavik,IS,63.84,-22.43,54.07,76,75,4.12,broken clouds
294,Beaumont,US,30.09,-94.10,90.23,62,40,4.63,scattered clouds
295,Sitka,US,57.05,-135.33,65.68,53,100,1.43,overcast clouds
296,Belmonte,BR,-15.86,-38.88,78.67,74,2,3.78,clear sky
297,Namatanai,PG,-3.67,152.43,77.11,79,61,1.19,broken clouds
298,Port Hedland,AU,-20.32,118.57,59.05,82,94,3.6,overcast clouds
299,Sistranda,NO,63.73,8.83,53.56,87,86,2.0,overcast clouds
300,Severo-Kurilsk,RU,50.68,156.12,40.23,88,15,3.12,few clouds
301,Kholodnyy,RU,62.72,147.95,43.68,83,100,1.16,overcast clouds
302,Honiara,SB,-9.43,159.95,75.97,84,99,1.05,overcast clouds
303,Solnechnyy,RU,50.72,136.63,43.16,99,94,1.54,overcast clouds
304,Kot Diji,PK,27.34,68.71,89.62,13,5,1.52,clear sky
305,Praia Da Vitoria,PT,38.73,-27.07,68.25,77,40,6.16,scattered clouds
306,Northam,GB,51.03,-4.22,59.40,74,1,2.25,clear sky
307,Caconda,AO,-13.73,15.07,54.18,49,0,2.13,clear sky
308,Meadow Lake,US,34.80,-106.54,84.70,18,0,5.32,clear sky
309,Huarmey,PE,-10.07,-78.15,69.22,69,43,6.59,scattered clouds
310,Sevilla,ES,37.38,-5.98,79.92,58,20,5.66,few clouds
311,Axim,GH,4.87,-2.24,79.54,83,99,3.1,overcast clouds
312,Tulun,RU,54.56,100.58,53.01,79,100,2.31,overcast clouds
313,Narsaq,GL,60.92,-46.05,46.54,61,100,2.05,overcast clouds
314,Hobbs,US,32.70,-103.14,85.06,45,49,1.79,scattered clouds
315,Imeni Poliny Osipenko,RU,52.42,136.49,38.44,96,100,4.12,overcast clouds
316,Parana,AR,-31.73,-60.52,58.57,49,90,2.57,overcast clouds
317,Komsomolskiy,UZ,40.43,71.72,70.52,46,0,4.12,clear sky
318,Marzuq,YE,14.40,46.47,79.14,47,7,2.73,clear sky
319,Provideniya,RU,64.38,-173.30,45.99,68,18,2.03,few clouds
320,Tuatapere,NZ,-46.13,167.68,52.48,93,100,2.94,light rain
321,Urumqi,CN,43.80,87.60,63.55,52,0,2.0,clear sky
322,Lagos,NG,6.58,3.75,84.52,83,41,2.17,scattered clouds
323,Severnoye,RU,56.35,78.36,44.65,88,24,5.57,few clouds
324,Inhambane,MZ,-23.86,35.38,68.00,72,20,1.54,few clouds
325,Gamba,GA,-2.65,10.00,73.29,89,0,2.65,clear sky
326,Lhokseumawe,ID,5.18,97.15,78.57,84,100,3.76,overcast clouds
327,Wahiawa,US,21.50,-158.02,77.22,82,40,2.57,scattered clouds
328,Kununurra,AU,-15.77,128.73,75.18,94,90,2.06,overcast clouds
329,Dongying,CN,37.46,118.49,71.51,40,5,2.38,clear sky
330,Barranca,PE,-10.75,-77.77,66.65,70,32,6.14,scattered clouds
331,Eyl,SO,7.98,49.82,79.61,79,63,11.8,broken clouds
332,Longyearbyen,SJ,78.22,15.64,48.04,71,0,3.09,clear sky
333,Dunedin,NZ,-45.87,170.50,55.80,53,55,2.57,broken clouds
334,Tolaga Bay,NZ,-38.37,178.30,57.09,91,18,3.4,few clouds
335,Esperance,AU,-33.87,121.90,54.00,66,100,5.92,light rain
336,Taga,RO,46.95,24.05,68.32,86,14,0.86,few clouds
337,Linqiong,CN,30.42,103.46,71.42,80,60,1.08,broken clouds
338,Shizukuishi,JP,39.68,140.98,52.25,91,94,0.78,overcast clouds
339,Bhinmal,IN,25.00,72.25,87.67,52,0,6.27,clear sky
340,Longhua,CN,23.61,114.19,75.58,96,97,0.92,light rain
341,Bad Freienwalde,DE,52.79,14.03,61.45,92,58,0.89,broken clouds
342,Zachary,US,30.65,-91.16,92.93,55,75,0.0,broken clouds
343,Dubai,AE,25.26,55.30,98.53,16,0,3.6,clear sky
344,Necochea,AR,-38.55,-58.74,47.95,78,100,5.25,overcast clouds
345,Saint George,US,37.10,-113.58,84.63,16,0,2.57,clear sky
346,Pangoa,PE,-12.12,-73.00,73.98,93,100,0.9,overcast clouds
347,Meulaboh,ID,4.14,96.13,76.08,92,100,3.95,light rain
348,The Valley,AI,18.22,-63.06,85.86,69,20,5.14,few clouds
349,Solana Beach,US,32.99,-117.27,87.73,69,35,4.47,scattered clouds
350,Verkhoyansk,RU,67.54,133.38,46.00,76,93,3.07,overcast clouds
351,Sheridan,US,44.83,-106.92,64.02,32,12,1.34,few clouds
